Sample_ID,Original Order,Group,NewOrder,NewOrder2
GES10084,45,cdfw_north,1,1
JLS09002,46,emigrant,2,2
GES10051,19,cdfw_north,3,3
GES10023,17,cdfw_north,15,4
GES_10002,21,cdfw_north,14,5
GES10014,16,cdfw_north,12,6
KGS10015,23,cdfw_north,13,7
MLS10013,24,cdfw_north,9,8
SM1221,50,cdfw_north,10,9
GES10059,20,cdfw_north,11,10
CDS10009,15,cdfw_north,16,11
APR031,14,htynf,4,12
GES10026,18,cdfw_north,7,13
KGS10001,22,cdfw_north,8,14
SMS09009,41,emigrant,6,15
SMS09029,42,emigrant,5,16
RKS1293,4,yose,17,17
RKS1014,1,yose,23,18
RKS1126,2,yose,24,19
RKS9694,40,yose,25,20
RKS1217,3,yose,26,21
RKS2803,6,yose,19,22
TP106,43,yose,20,23
RKS4031,37,yose,18,24
RKS17525,5,yose,21,25
RKS5940,8,yose,22,26
APR002,44,SNF,29,27
TP64,12,yose,28,28
RKS3358,47,seki,27,29
TP40,10,yose,30,30
TP60,11,yose,31,31
RKS8779,9,yose,32,32
RKS5758,7,yose,33,33
RKS5097,39,seki,50,34
RKS1747,33,seki,49,35
RKS1891,35,seki,43,36
RKS1874,34,seki,44,37
RKS12464,27,seki,42,38
RKS5063,38,seki,45,39
RKS3104,36,seki,46,40
RKS13423,29,seki,47,41
RKS13221,28,seki,48,42
APR009,13,SNF,39,43
RKS15808,30,seki,40,44
RKS16456,31,seki,41,45
RKS17077,32,seki,34,46
RKS16450,48,seki,35,47
RKS17133,49,seki,36,48
RKS12057,26,seki,38,49
RKS11995,25,seki,37,50