,swab_id,X,site_id,latitude,longitude,date,fluidigm_run,main_locale,genus,species,type,assign_k6,missing
1,RKS1014,1,1.1,38.08542674,-119.8354889,NA,F2016,yose,rana,sierrae,fl,5,0.417266
2,RKS1044,2,6,38.0645622,-119.4611354,NA,F2016,yose,rana,sierrae,fl,6,0.482014
3,RKS1126,3,2.1,38.08927054,-119.6988511,NA,F2016,yose,rana,sierrae,fl,5,0.503597
4,RKS1217,4,2.2,38.08442208,-119.6548753,NA,F2016,yose,rana,sierrae,fl,5,0.589928
5,RKS1293,5,5,38.06838454,-119.546759,NA,F2016,yose,rana,sierrae,fl,5,0.359712
6,RKS17525,6,7.2,37.98132714,-119.4740217,NA,F2016,yose,rana,sierrae,fl,3,0.338129
7,RKS2803,7,14,37.77750456,-119.3634977,NA,F2016,yose,rana,sierrae,fl,6,0.438849
8,RKS5758,8,16,37.70929962,-119.4333706,NA,F2016,yose,rana,sierrae,fl,3,0.460432
9,RKS5940,9,3,38.1122642,-119.649078,NA,F2016,yose,rana,sierrae,fl,5,0.546763
10,RKS8779,10,18.1,37.62334184,-119.4076522,NA,F2016,yose,rana,sierrae,fl,6,0.532374
11,TP40,11,20,37.67380327,-119.6514642,NA,F2016,yose,rana,sierrae,fl,3,0.294964
12,TP60,12,20.1,37.69157921,-119.6619401,NA,F2016,yose,rana,sierrae,fl,6,0.395683
13,TP64,13,19.5,37.61121808,-119.5762459,NA,F2016,yose,rana,sierrae,fl,6,0.330935
14,APR009,14,SNF,37.084791,-119.187592,NA,F2019_4,SNF,rana,sierrae,fl,6,0.453237
15,APR031,15,Silver_Headwaters,38.38981,-119.613584,7/5/18,F2019_3,htynf,rana,sierrae,fl,5,0.589928
16,CDS10009,16,50178,38.59573142,-119.8868013,30-Jun-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.496403
17,GES10014,17,14590,38.6685062,-120.0275014,11-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.388489
18,GES10023,18,15145,38.51869529,-119.9811496,15-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.417266
19,GES10026,19,14607,38.66182973,-119.9728773,18-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.446043
20,GES10051,20,14299,38.85073533,-120.1657946,12-Aug-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.345324
21,GES10059,21,50171,38.50039585,-119.9354065,14-Aug-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.482014
22,GES_10002,22,51050,38.65865429,-120.0969417,22-Jun-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.661871
23,KGS10001,23,14738,38.61492224,-119.8954829,29-Jun-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.446043
24,KGS10015,24,27665,38.67042794,-120.0350295,19-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.402878
25,MLS10013,25,13959,38.93249039,-120.2182532,12-Aug-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.28777
26,RKS11995,26,Observation_Basin,37.024,-118.543,9/1/10,F2017,seki,rana,sierrae,fl,6,0.374101
27,RKS12057,27,Amphitheater_Basin,37.024,-118.503,8/31/10,F2017,seki,rana,sierrae,fl,6,0.410072
28,RKS12464,28,Upper_Kern_Basin,36.691,-118.425,8/14/11,F2017,seki,rana,muscosa,fl,2,0.604317
29,RKS13221,29,Rae_Basin,36.81,-118.412,8/29/11,F2017,seki,rana,muscosa,fl,2,0.280576
30,RKS13423,30,Sixty_Lake_Basin,36.809,-118.419,8/30/11,F2017,seki,rana,muscosa,fl,2,0.417266
31,RKS15808,31,Swamp_Basin,36.893,-118.705,8/3/13,F2017,seki,rana,sierrae,fl,6,0.374101
32,RKS16456,32,Volcanic_Basin,36.9,-118.596,8/5/13,F2017,seki,rana,sierrae,fl,6,0.604317
33,RKS17077,33,Rambaud_Basin,37.052,-118.619,7/10/14,F2017,seki,rana,sierrae,fl,6,0.410072
34,RKS1747,34,Marion_Basin,36.951,-118.522,8/19/05,F2017,seki,rana,muscosa,fl,6,0.625899
35,RKS1874,35,Coyote_Basin,36.358,-118.471,8/19/05,F2017,seki,rana,muscosa,fl,2,0.42446
36,RKS1891,36,Laurel_Basin,36.37,-118.484,8/20/05,F2017,seki,rana,muscosa,fl,5,0.431655
37,RKS3104,37,Reflection_Basin,36.724,-118.464,9/4/05,F2017,seki,rana,muscosa,fl,2,0.381295
38,RKS4031,38,15,37.72363917,-119.2994437,NA,F2016,yose,rana,sierrae,fl,3,0.230216
39,RKS5063,39,Milestone_Basin,36.644,-118.462,9/3/07,F2017,seki,rana,muscosa,fl,2,0.381295
40,RKS5097,40,Muro_Blanco_Basin,36.938,-118.536,8/21/07,F2017,seki,rana,muscosa,fl,6,0.517986
41,RKS9694,41,4,38.02999279,-119.6404274,NA,F2016,yose,rana,sierrae,fl,5,0.676259
42,SMS09009,42,16307,38.17338418,-119.7438827,21-Jul-09,F2019_2,emigrant,rana,sierrae,fl,5,0.402878
43,SMS09029,43,16080,38.18913913,-119.7328867,20-Jul-09,F2019_2,emigrant,rana,sierrae,fl,5,0.374101
44,TP106,44,11,37.80741794,-119.3138526,NA,F2016,yose,rana,sierrae,fl,5,0.539568
45,APR002,45,SNF,37.084791,-119.187592,NA,F2019_4,SNF,rana,sierrae,fl,6,0.496403
46,GES10012,46,14590,38.6685062,-120.0275014,11-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.553957
47,GES10041,47,50153,38.61066955,-120.1913707,8-Aug-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.438849
48,GES10057,48,50172,38.49623267,-119.9361546,14-Aug-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.482014
49,GES10084,49,12052,39.95810252,-121.1589764,23-Sep-10,F2019_1,cdfw_north,rana,sierrae,fl,4,0.323741
50,JLS09002,50,16130,38.18368633,-119.7425799,18-Jul-09,F2019_2,emigrant,rana,sierrae,fl,5,0.546763
51,KMS09021,51,16031,38.19275983,-119.8514241,15-Jul-09,F2019_2,emigrant,rana,sierrae,fl,5,0.294964
52,KMS11082,52,13076,39.37611626,-120.3889816,27-Sep-11,F2019_1,cdfw_north,rana,sierrae,fl,4,0.438849
53,RKS27061,53,52250,38.19755748,-119.5804213,7/28/18,F2019_3,htynf,rana,sierrae,fl,5,0.467626
54,RKS3358,54,Barrett_Basin,37.071,-118.544,9/15/05,F2017,seki,rana,sierrae,fl,6,0.460432
55,RKS5103,55,Cartridge_Basin,36.969,-118.486,8/23/07,F2017,seki,rana,muscosa,fl,6,0.597122
56,RKS5320,56,Upper_Basin,37.018,-118.442,7/9/07,F2017,seki,rana,muscosa,fl,6,0.733813
57,RKS5952,57,8,37.98719778,-119.3573099,NA,F2016,yose,rana,sierrae,fl,3,0.179856
58,SMS10012,58,14306,38.84903434,-120.1404699,29-Oct-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.338129
59,SMS10013,59,14365,38.835446,-120.1337804,6-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.496403
60,MTS13097,60,10,37.84042112,-119.3851488,NA,F2016,yose,rana,sierrae,fl,3,0.366906
61,RKS11743,61,Mulkey_Meadows,36.407,-118.161,7/9/11,F2017,seki,rana,muscosa,fl,5,0.467626
62,RKS14643,62,Darwin_Bench,37.197,-118.721,8/1/12,F2017,seki,rana,sierrae,fl,5,0.776978
63,RKS16450,63,Gorge_Basin,36.884,-118.738,8/2/13,F2017,seki,rana,sierrae,fl,6,0.561151
64,RKS17133,64,Black_Giant_Basin,37.124,-118.643,7/9/14,F2017,seki,rana,sierrae,fl,6,0.661871
65,SMS10003,65,12273,39.67347117,-120.6364998,17-Jun-10,F2019_1,cdfw_north,rana,sierrae,fl,4,0.338129
66,KGS10032,66,12069,39.94088799,-121.1421746,24-Sep-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.496403
67,RKS11515,67,Forester_Basin,36.715,-118.369,9/11/10,F2017,seki,rana,muscosa,fl,5,0.748201
68,RKS11593,68,McGee_Basin,37.159,-118.723,9/16/10,F2017,seki,rana,muscosa,fl,5,0.705036
69,RKS14659,69,LeConte_Divide,37.17,-118.806,8/3/12,F2017,seki,rana,sierrae,fl,6,0.690647
70,RKS25536,70,53003,37.4649671,-118.8292811,8/9/18,F2019_3,htynf,rana,sierrae,fl,3,0.42446
71,SMS10002,71,12273,39.67347117,-120.6364998,17-Jun-10,F2019_1,cdfw_north,rana,sierrae,fl,4,0.438849
72,JLS10003,72,50204,38.6096923,-119.8931253,30-Jun-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.589928
73,SM1221,73,14305,38.84930697,-120.1534201,16-Aug-12,F2019_1,cdfw_north,rana,sierrae,fl,5,0.604317
74,MNW15_046_S9,74,Devils_Canyon_ANF,34.325,-117.937,2015,F2019_3,southern,rana,muscosa,fl,5,0.496403
75,72336_12_S142,75,Unicorn,37.889971,-119.3946434,,,,,sierrae,exome,3,0.0791367
76,72336_19_S144,76,Unicorn,37.889971,-119.3946434,,,,,sierrae,exome,3,0.0143885
77,72808_3_S145,77,Unicorn,37.889971,-119.3946434,,,,,sierrae,exome,3,0.0359712
78,ARB11-25-11_S188,78,Little Rock Creek,34.31676835,-117.8527752,7-Jul-11,,,,muscosa,exome,1,0.00719424
79,ARB11-37-22_S187,79,Little Rock Creek,34.31676835,-117.8527752,25-Aug-11,,,,muscosa,exome,1,0.244604
80,ARB12-68-20_S181,80,South Fork Big Rock Creek,34.33841071,-117.8427814,3-Jul-12,,,,muscosa,exome,1,0.0359712
81,ARB12-68-40_S182,81,South Fork Big Rock Creek,34.33841071,-117.8427814,3-Jul-12,,,,muscosa,exome,1,0.028777
82,ARB17-015-51_004_S189,82,East Fork City Creek,34.27076951,-117.2448971,26-Sep-17,,,,muscosa,exome,1,0.0431655
83,ARB17-015-51_005_S190,83,East Fork City Creek,34.27076951,-117.2448971,26-Sep-17,,,,muscosa,exome,1,0.0791367
84,CAS175009_S168,84,Fuller Mill Creek,33.88671923,-116.8004226,29-Jun-90,,,,muscosa,exome,1,0.100719
85,CAS203394_S173,85,Sierra,39.48892209,-120.2500199,22-Aug-97,,,,sierrae,exome,4,0.280576
86,CAS206093_S178,86,Plumas,39.90555824,-120.9507769,5-Aug-98,,,,sierrae,exome,4,0.201439
87,CAS209370_S172,87,Plumas,39.80743097,-121.2809223,22-Aug-99,,,,sierrae,exome,4,0.0359712
88,CAS209668_S175,88,Plumas,39.68303645,-120.8850742,21-Jul-99,,,,sierrae,exome,4,0.0143885
89,CAS227259_S177,89,Plumas,39.98744169,-121.1524761,7-Aug-03,,,,sierrae,exome,4,0.0719424
90,CAS227639_S170,90,Plumas,40.12188633,-120.6386418,27-Aug-03,,,,sierrae,exome,4,0.0863309
91,CAS227640_S179,91,Plumas,40.31340272,-120.5414753,27-Aug-03,,,,sierrae,exome,5,0.0215827
92,KLB12-79-56_S183,92,"Devil's Canyon, ANF",34.33617683,-117.925911,28-Aug-12,,,,muscosa,exome,1,0.0791367
93,KLB12-79-64_S184,93,"Devil's Canyon, ANF",34.41541476,-117.8950959,28-Aug-12,,,,muscosa,exome,1,0.0791367
94,LG12-68-27_S185,94,Dark Canyon,33.89887544,-116.8170973,3-Jul-12,,,,muscosa,exome,1,0.0719424
95,LG12-68-32_S186,95,Dark Canyon,33.73818766,-116.7490371,3-Jul-12,,,,muscosa,exome,1,0.230216
96,LG13-80-1_S180,96,Fuller Mill Creek,33.72851901,-116.6433403,15-Aug-13,,,,muscosa,exome,1,0.0359712
97,MVZ149008_S165,97,Emigrant,38.28715717,-119.5981282,29-Jun-74,,,,sierrae,exome,5,0.0863309
98,MVZ197553_S166,98,Emigrant,38.32126416,-119.7325659,26-Jul-85,,,,sierrae,exome,5,0.0647482
99,MVZ230140_S157,99,South Fork Big Rock Creek,34.43789279,-117.7703667,29-May-99,,,,muscosa,exome,1,0.0431655
100,MVZ240827_S160,100,Yosemite,37.74921331,-119.7575292,14-Jul-03,,,,sierrae,exome,5,0.0359712
101,MVZ240831_S161,101,Yosemite,37.74679034,-119.5658409,13-Jul-03,,,,sierrae,exome,5,0.122302
102,MVZ250051_S162,102,Yosemite,38.19400832,-119.469876,19-Aug-05,,,,sierrae,exome,5,0.107914
103,RASI1_S191,103,Hutchings - ZOO,37.77981528,-119.3647929,,,,,sierrae,exome,3,0.057554
104,RASI3_S193,104,Hutchings - ZOO,37.77981528,-119.3647929,,,,,sierrae,exome,3,0.0503597
105,RASI5_S195,105,Hutchings - ZOO,37.77981528,-119.3647929,,,,,sierrae,exome,3,0.0431655
106,RKS26100_S100,106,Swamp Lakes,36.97728643,-118.6030687,,,,,sierrae,exome,6,0.0359712
107,RKS26103_S104,107,Swamp Lakes,36.97728643,-118.6030687,,,,,sierrae,exome,6,0.0431655
108,RKS26110_S101,108,Swamp Lakes,36.97728643,-118.6030687,,,,,sierrae,exome,6,0.028777
109,RKS26631_S119,109,Gallison,37.82571677,-119.2842288,,,,,sierrae,exome,3,0.0215827
110,RKS26633_S120,110,Gallison,37.82571677,-119.2842288,,,,,sierrae,exome,3,0.028777
111,RKS26636_S118,111,Gallison,37.82571677,-119.2842288,,,,,sierrae,exome,3,0.028777
112,RKS27726_S111,112,Independence,36.80776901,-118.3265568,NA,,,,sierrae,exome,6,0.0215827
113,RKS27733_S110,113,Independence,36.80776901,-118.3265568,NA,,,,sierrae,exome,6,0.057554
114,RKS27740_S107,114,Independence,36.80776901,-118.3265568,NA,,,,sierrae,exome,6,0.057554
115,RKS27762_S149,115,Fourth Recess,37.38640393,-118.8681299,,,,,sierrae,exome,3,0.0143885
116,RKS27820_S148,116,Fourth Recess,37.38640393,-118.8681299,,,,,sierrae,exome,3,0.028777
117,RKS27823_S150,117,Fourth Recess,37.38640393,-118.8681299,,,,,sierrae,exome,3,0.0143885
118,RKS27891_S141,118,Milestone,36.59004159,-118.4990394,,,,,muscosa,exome,2,0.057554
119,RKS27903_S138,119,Milestone,36.59004159,-118.4990394,,,,,muscosa,exome,2,0.057554
120,RKS27906_S140,120,Milestone,36.59004159,-118.4990394,,,,,muscosa,exome,2,0.0143885
121,RKS27920_S131,121,Kern Point,36.73861451,-118.4533477,NA,,,,muscosa,exome,2,0.0431655
122,RKS27923_S134,122,Kern Point,36.73861451,-118.4533477,NA,,,,muscosa,exome,2,0.0503597
123,RKS27927_S135,123,Kern Point,36.73861451,-118.4533477,NA,,,,muscosa,exome,2,0.028777
124,RKS72996_15_S116,124,Conness Pond,37.89650152,-119.3216021,,,,,sierrae,exome,3,0.0503597
125,RKS72996_3_S117,125,Conness Pond,37.89650152,-119.3216021,,,,,sierrae,exome,3,0.0215827
126,RKS72996_7_S115,126,Conness Pond,37.89650152,-119.3216021,,,,,sierrae,exome,3,0.0503597